season,n_train,n_test,accuracy,log_loss,brier,auc,home_win_rate_actual
1990,25836,1161,0.7011197243755384,0.5631920430807069,0.1919078826904297,0.7344356118732589,0.657192075796727
1991,26997,1165,0.7012875536480687,0.5738815054934243,0.1955722719430923,0.7315704872650265,0.6377682403433477
1992,28162,1167,0.676949443016281,0.5900663265384469,0.2025116980075836,0.7290756010331809,0.6161096829477292
1993,29329,1170,0.7239316239316239,0.5623979114765845,0.1903944909572601,0.7551939058171745,0.6170940170940171
1994,30499,1165,0.6755364806866953,0.6064119805052561,0.2085039764642715,0.7238027979553403,0.5948497854077254
1995,31664,1242,0.6924315619967794,0.5714302010110353,0.1946840584278106,0.7551202330738792,0.607085346215781
1996,32906,1246,0.6974317817014446,0.5794833869918063,0.1977429091930389,0.7660059420163101,0.5834670947030498
1997,34152,1245,0.7140562248995984,0.5627458862608334,0.1906442195177078,0.7690447919968624,0.5991967871485944
1998,35397,774,0.6524547803617571,0.6196866987511626,0.2152395248413086,0.6800431989996021,0.6227390180878553
1999,36171,1249,0.6813450760608487,0.5897336834322416,0.2027066498994827,0.7199574195370461,0.6180944755804644
2000,37420,1244,0.6720257234726688,0.5985053389310167,0.2064517140388488,0.7249055052747801,0.5972668810289389
2001,38664,1243,0.6572807723250201,0.6386738424901425,0.222207173705101,0.686253109702271,0.589702333065165
2002,39907,1260,0.669047619047619,0.5958689821723794,0.2064744234085083,0.7089868924893507,0.6261904761904762
2003,41167,1254,0.6555023923444976,0.6189525058207794,0.2149055153131485,0.6825558712351165,0.6196172248803827
2004,42421,1296,0.6612654320987654,0.6108539412985626,0.2121724039316177,0.7107259988073942,0.6018518518518519
2005,43717,1301,0.6671790930053805,0.6199292237417796,0.2153691798448562,0.687779067690659,0.6087624903920061
2006,45018,1292,0.6431888544891641,0.6370072615174283,0.2226506769657135,0.6686719410857341,0.5959752321981424
2007,46310,1297,0.6738627602158828,0.5943060314655585,0.2053372263908386,0.7204893990196028,0.6098689282960679
2008,47607,1298,0.6941448382126348,0.5804363183194872,0.1990785300731659,0.7409707902060102,0.613251155624037
2009,48905,1294,0.6862442040185471,0.5863306301201128,0.2011903226375579,0.7377890562730146,0.5973724884080371
2010,50199,1294,0.6731066460587326,0.5969994032712806,0.205862671136856,0.7177730782225671,0.606646058732612
2011,51493,1056,0.665719696969697,0.6132521479855413,0.2112821638584137,0.7106449788677898,0.5946969696969697
2012,52549,1294,0.6831530139103554,0.5939681654459803,0.2041148692369461,0.7233678922105349,0.6128284389489954
2013,53843,1302,0.6597542242703534,0.6154325892949332,0.2132661640644073,0.7168967906575857,0.5752688172043011
2014,55145,1294,0.6715610510046368,0.6089332450402152,0.2105011492967605,0.7291502297303569,0.5741885625965997
2015,56439,1299,0.6913010007698229,0.5830921649499008,0.1997678279876709,0.7395594930478652,0.5958429561200924
2016,57738,1293,0.6465583913379737,0.6313995205842485,0.2199831157922744,0.6891187630103885,0.5831399845320959
2017,59031,1296,0.6705246913580247,0.6211101432377822,0.2145354151725769,0.6999239002356638,0.5864197530864198
2018,60327,1296,0.6612654320987654,0.6199313433901591,0.2149064838886261,0.6976464393969217,0.5895061728395061
2019,61623,1121,0.6529884032114184,0.644181431998849,0.225055530667305,0.6926820498991999,0.5459411239964318
2020,62744,1153,0.6019080659150043,0.666004024086036,0.2354814708232879,0.672491373612046,0.5437987857762359
2021,63897,1301,0.6433512682551883,0.6483151557927371,0.2270605117082595,0.6905003694962932,0.5465026902382782
2022,65198,1298,0.6448382126348228,0.6510082706500895,0.2284977585077285,0.6522605588281926,0.5816640986132512
2023,66496,1231,0.6433793663688059,0.6239261531199145,0.2171867787837982,0.7191165440531095,0.5434606011372868
2024,67727,1294,0.6530139103554868,0.6192631870270843,0.2155027836561203,0.7220835895024895,0.5479134466769706
2025,69021,1299,0.6766743648960739,0.6097655112756694,0.2098182439804077,0.7324181094431922,0.5535026943802925
